passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,Charlison,,Benschop,2455,1989-08-21,191,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,right,C. Benschop,18138,Charlison Benschop,Charlison Benschop,Charlison Benschop,cw CUW,"MF,DF",Hannover 96,27.0,1989.0,2.0,38.0,54.0,70.4,534.0,175.0,23.0,28.0,82.1,9.0,13.0,69.2,3.0,7.0,42.9,0,0.0,0.1,0.0,1.0,7.0,0.0,0.0,6.0,4.0,37.5,1.0,3.0,0.0,3.0,8.0,5.0,1.0,0.0,1.0,2.0,6.0,2.0,0.0,Matches,54.0,50.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,0,0,0.0,4,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,8.0,4.0,4.0,50.0
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,Przemys\u0142aw,,Tyto\u0144,677,1987-01-04,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99,right,P. Tyto\u0144,null,Przemysław Tytoń,Przemysław Tytoń,Przemysław Tytoń,pl POL,GK,La Coruña,30.0,1987.0,1.1,17.0,28.0,60.7,508.0,358.0,1.0,1.0,100.0,9.0,9.0,100.0,7.0,18.0,38.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,13.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",65,Jetro,,Willems,2462,1994-03-30,169,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",110,left,J. Willems,null,Jetro Willems,Jetro Willems,Jetro Willems,nl NED,"FW,DF",Eint Frankfurt,23.0,1994.0,18.5,613.0,877.0,69.9,12167.0,5916.0,222.0,278.0,79.9,271.0,354.0,76.6,104.0,187.0,55.6,2,2.7,4.3,-0.7,35.0,53.0,34.0,12.0,77.0,55.0,64.3,28.0,23.0,4.0,27.0,42.0,15.0,31.0,1.0,30.0,20.0,75.0,53.0,0.0,Matches,877.0,585.0,286.0,33.0,1.0,6.0,96.0,205.0,48.0,13.0,27.0,0.0,613.0,6.0,38.0,4,0,0.0,24,24.0,9.0,96.0,20.0,42.0,0.0,0.0,0.0,99.0,19.0,23.0,45.2
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Kevin,,Strootman,3158,1990-02-13,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",114,left,K. Strootman,null,Kevin Strootman,Kevin Strootman,Kevin Strootman,nl NED,MF,Roma,27.0,1990.0,25.1,1248.0,1488.0,83.9,20395.0,6128.0,592.0,673.0,88.0,502.0,578.0,86.9,98.0,145.0,67.6,1,1.5,2.3,-0.5,30.0,198.0,23.0,4.0,211.0,57.0,32.6,19.0,24.0,14.0,15.0,46.0,31.0,27.0,3.0,24.0,27.0,84.0,21.0,0.0,Matches,1488.0,1423.0,58.0,36.0,5.0,6.0,24.0,21.0,1.0,0.0,0.0,0.0,1248.0,7.0,19.0,4,0,0.0,48,24.0,4.0,24.0,27.0,38.0,0.0,0.0,0.0,154.0,29.0,30.0,49.2
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",61,Dries,,Mertens,3187,1987-05-06,169,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",122,right,D. Mertens,5629,Dries Mertens,Dries Mertens,Dries Mertens,be BEL,FW,Napoli,30.0,1987.0,33.4,744.0,1015.0,73.3,9449.0,2057.0,486.0,601.0,80.9,155.0,222.0,69.8,38.0,57.0,66.7,7,7.2,5.7,-0.2,58.0,48.0,49.0,2.0,105.0,28.0,13.9,5.0,13.0,10.0,5.0,36.0,31.0,18.0,2.0,16.0,5.0,33.0,8.0,1.0,Matches,1015.0,978.0,29.0,3.0,22.0,2.0,30.0,3.0,0.0,0.0,0.0,0.0,744.0,8.0,29.0,4,0,0.0,38,42.0,13.0,30.0,5.0,22.0,2.0,0.0,0.0,67.0,3.0,24.0,11.1
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",78,Ola,,Toivonen,3780,1986-07-03,192,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",123,right,O. Toivonen,7047,Ola Toivonen,Ola Toivonen,Ola Toivonen,se SWE,"FW,MF",Toulouse,31.0,1986.0,8.9,231.0,326.0,70.9,3712.0,956.0,127.0,170.0,74.7,71.0,99.0,71.7,24.0,35.0,68.6,0,0.4,0.8,-0.4,8.0,31.0,8.0,1.0,41.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,7.0,2.0,0.0,2.0,2.0,6.0,12.0,0.0,Matches,326.0,309.0,14.0,2.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,231.0,3.0,6.0,2,0,0.0,27,9.0,6.0,3.0,2.0,4.0,1.0,0.0,0.0,27.0,42.0,34.0,55.3
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Stefan,,de Vrij,3162,1992-02-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",130,right,S. de Vrij,null,Stefan de Vrij,Stefan de Vrij,Stefan de Vrij,nl NED,DF,Lazio,25.0,1992.0,33.7,1409.0,1546.0,91.1,27794.0,10144.0,462.0,487.0,94.9,760.0,792.0,96.0,167.0,233.0,71.7,0,0.3,0.4,-0.3,5.0,78.0,4.0,0.0,86.0,31.0,60.9,14.0,17.0,0.0,14.0,23.0,9.0,43.0,24.0,19.0,71.0,102.0,156.0,1.0,Matches,1546.0,1503.0,38.0,35.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1409.0,5.0,4.0,3,0,0.0,19,10.0,1.0,0.0,71.0,22.0,0.0,2.0,0.0,245.0,44.0,24.0,64.7
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,7.0,20.0,3.0,1.0,3.0,2.0,10.0,8.0,10.0,1.0,9.0,2.0,9.0,7.0,0.0,Matches,367.0,358.0,4.0,0.0,3.0,3.0,14.0,1.0,1.0,1.0,0.0,0.0,230.0,5.0,13.0,3,0,0.0,31,16.0,10.0,14.0,2.0,7.0,0.0,1.0,0.0,38.0,30.0,46.0,39.5
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,7.0,20.0,3.0,1.0,3.0,2.0,10.0,8.0,10.0,1.0,9.0,2.0,9.0,7.0,0.0,Matches,367.0,358.0,4.0,0.0,3.0,3.0,14.0,1.0,1.0,1.0,0.0,0.0,230.0,5.0,13.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,7.0,20.0,3.0,1.0,3.0,2.0,10.0,8.0,10.0,1.0,9.0,2.0,9.0,7.0,0.0,Matches,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,3,0,0.0,31,16.0,10.0,14.0,2.0,7.0,0.0,1.0,0.0,38.0,30.0,46.0,39.5
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,7.0,20.0,3.0,1.0,3.0,2.0,10.0,8.0,10.0,1.0,9.0,2.0,9.0,7.0,0.0,Matches,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,367.0,358.0,4.0,0.0,3.0,3.0,14.0,1.0,1.0,1.0,0.0,0.0,230.0,5.0,13.0,3,0,0.0,31,16.0,10.0,14.0,2.0,7.0,0.0,1.0,0.0,38.0,30.0,46.0,39.5
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,367.0,358.0,4.0,0.0,3.0,3.0,14.0,1.0,1.0,1.0,0.0,0.0,230.0,5.0,13.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,3,0,0.0,31,16.0,10.0,14.0,2.0,7.0,0.0,1.0,0.0,38.0,30.0,46.0,39.5
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25.0,1992.0,13.6,230.0,367.0,62.7,3143.0,861.0,143.0,206.0,69.4,59.0,87.0,67.8,12.0,27.0,44.4,3,1.7,1.6,1.3,13.0,29.0,5.0,0.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
